particleID,gravelometer_size,Date1,Date2,DistanceD,intersect,intersect_area,MaxD,MinD,Radius1,Radius2,event,valid_euc,valid_min,valid_max,moved_euc,moved_min,moved_max,counted_moved_euc,counted_moved_min,counted_moved_max
6,128.0,03_24_2023,06_17_2023,0.452071932,True,0.007913831,0.965567363,0.0,0.108974297,0.404521134,M6,True,False,True,True,False,True,False,False,False
6,128.0,06_17_2023,07_31_2023,0.361664517,False,0.0,0.78965738,0.0,0.404521134,0.023471729,M7,False,False,True,False,False,True,False,False,True
6,128.0,07_31_2023,09_20_2023,0.062974198,False,0.0,0.096370224,0.029578172,0.023471729,0.009924297,M8,True,True,True,False,False,False,False,False,False
7,128.0,03_28_2022,07_06_2022,0.190868719,True,0.013546394,0.478110484,0.0,0.180498633,0.106743133,M1,True,False,True,True,False,True,False,False,False
7,128.0,07_06_2022,08_06_2022,0.095223671,False,0.0,0.404243669,0.0,0.106743133,0.202276865,M2,False,False,True,False,False,False,False,False,False
7,128.0,08_06_2022,08_09_2022,0.16044861,True,0.036609199,0.500346645,0.0,0.202276865,0.13762117,M3,False,False,True,False,False,True,False,False,True
7,128.0,08_09_2022,08_24_22,0.08111763,False,0.0,0.234499434,0.0,0.13762117,0.015760634,M4,False,False,True,False,False,False,False,False,False
7,128.0,08_24_22,03_24_2023,0.076491561,False,0.0,0.447427838,0.0,0.015760634,0.355175643,M5,False,False,True,False,False,False,False,False,False
7,128.0,03_24_2023,06_17_2023,0.337611098,True,0.023390547,0.807863744,0.0,0.355175643,0.115077003,M6,False,False,True,False,False,True,False,False,True
7,128.0,06_17_2023,07_31_2023,0.086333624,True,0.021168762,0.312666345,0.0,0.115077003,0.111255717,M7,False,False,True,False,False,False,False,False,False
7,128.0,07_31_2023,09_20_2023,0.121837267,True,0.038380539,0.459140799,0.0,0.111255717,0.226047815,M8,False,False,True,False,False,False,False,False,False
8,128.0,03_28_2022,07_06_2022,0.116170037,False,0.0,0.396216425,0.0,0.075599251,0.204447137,M1,False,False,True,False,False,False,False,False,False
8,128.0,07_06_2022,08_06_2022,0.130579911,False,0.0,0.362405553,0.0,0.204447137,0.027378505,M2,False,False,True,False,False,True,False,False,False
8,128.0,08_06_2022,08_09_2022,0.058412399,False,0.0,0.199939513,0.0,0.027378505,0.11414861,M3,False,False,True,False,False,False,False,False,False
8,128.0,08_09_2022,08_24_22,0.04220403,True,0.030232328,0.266995375,0.0,0.11414861,0.110642735,M4,False,False,True,False,False,False,False,False,False
8,128.0,08_24_22,03_24_2023,,,0.0,,,0.110642735,,M5,False,False,False,False,False,False,False,False,False
8,128.0,03_24_2023,06_17_2023,,,0.0,,,,,M6,False,False,False,False,False,False,False,False,False
8,128.0,06_17_2023,07_31_2023,,,0.0,,,,0.180120853,M7,False,False,False,False,False,False,False,False,False
8,128.0,07_31_2023,09_20_2023,0.106155551,True,0.019346165,0.365241668,0.0,0.180120853,0.078965264,M8,False,False,True,False,False,False,False,False,False
9,90.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
9,90.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
9,90.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
